Sentence,Topic,Indices,ArgumentIndices,Move,RValue,Class,SentenceId,Set,DocId,PredictedArgument,CoarseClass
"But with limits so they don ’ t go over bored and show un-needed parts of your body . k. Also if students are forced to wear school uniforms th en the students would n't be able to express themselves and their own uniqueness and individual i Special clothes like uniforms are only produced in small quantities , and so are more costly than normal clothes . Given that Changing Clothes Is a Free Action does n't apply in Real Life , it 's not surprising to see students lounging around malls and shopping centers wearing them , as it shows that they just got out of school .",school uniforms,"[(0, 30), (30, 46), (46, 50), (50, 66), (66, 109)]","[(24, 64)]",m8,0.75,MG,C3.2426,train,doc_7899,"forced to wear school uniforms th en the students would n't be able to express themselves and their own uniqueness and individual i Special clothes like uniforms are only produced in small quantities , and so are more costly than",MG
"However , the electricity industry is already arguing that the existing facilities can be operated beyond the 50-year lifespan , as long as they are continually renovated and reequipped . According to their argument , if Americans are going to satisfy their energy demands while achieving the goal of cutting greenhouse gas emissions , the country needs to re-invest in nuclear energy . Most of the opponents in the US also point at the fact that while most renewable energy source could render the US energy independent , uranium would still keep the country energy dependent as US would still have to import uranium . The Department of Energy ` s program for disposing of nuclearHigh-Level Waste ( HLW ) and transuranic ( TRU ) waste has been impeded by overwhelming political opposition fueled by public perceptions of actual risk .",nuclear energy,"[(0, 35), (35, 62), (62, 63), (63, 104), (104, 141)]","[(33, 84)]",m8,0.941,MG,C3.1794,train,doc_6127,"argument , if Americans are going to satisfy their energy demands while achieving the goal of cutting greenhouse gas emissions , the country needs to re-invest in nuclear energy . Most of the opponents in the US also point at the fact that while most renewable energy source could render the",MG
"The Assembly is now considering a bill that would allow voters to replace the death penalty -- meaning that the myth is being exposed from prosecutors ' offices to jury deliberation rooms and all the way to the statehouse . Backers of the measure focused their arguments on the cost of California 's notoriously slow capital punishment system , saying it would save hundreds of millions of dollars a year at a time when the state is facing a budget crunch . Death sentences were carried out by such means as crucifixion , drowning , beating to death , burning alive , and impalement .",death penalty,"[(0, 60), (60, 81), (81, 105)]","[(63, 81)]",m1,0.857,IMP,C1.840,train,doc_2815,hundreds of millions of dollars a year at a time when the state is facing a budget crunch,DISP
More advanced users may choose to freeze or sync their file system prior to creating a volume clone . People in this society do not need to make a clone ; it is completely irrelevant creating clone is allowing an individual to see themselves grow up . For example : # zfs destroy tank/home/matt/bug123 Clones must be destroyed before the parent snapshot can be destroyed .,cloning,"[(0, 19), (19, 46), (46, 66)]","[(26, 46)]",m1,0.741,IMP,C1.404,train,doc_1826,to make a clone ; it is completely irrelevant creating clone is allowing an individual to see themselves grow up,DISP
"Work with non-traditional allies toward abolishing the death penalty Work with non-traditional allies – including conservatives – toward abolishing the death penalty : Under a socially and politically unstable context , the death penalty can be regarded as necessary for deterring serious crimes . Amnesty ’ s research shows that numerous prisoners have been driven into mental illness , yet few safeguards exist to prevent them being executed . The campaign also utilized effective messengers – including innocent people exonerated from death row , district attorneys , and former death penalty champions who became compelling spokespeople for ending the death penalty .",death penalty,"[(0, 31), (31, 43), (43, 50), (50, 68), (68, 102)]","[(31, 62)]",m2,0.774,MG,C3.623,train,doc_2126,"the death penalty can be regarded as necessary for deterring serious crimes . Amnesty ’ s research shows that numerous prisoners have been driven into mental illness , yet few safeguards",MG
"With the federal government in mind , how can a state-wide marijuana industry operate without the support of banks , who due to their federal regulation can not offer business accounts to marijuana businesses ? Miron explained that legal drugs such as alcohol and cigarettes are similarly harmful to marijuana with regards to effects on health and behavior . Another great medical marijuana pro is a reduction in the use and dependence of prescription pills . Andrew Cuomo on Wednesday announced he is using executive administrative powers to allow 20 hospitals in the state to use medical marijuana to help patients suffering from cancer and other painful illnesses",marijuana legalization,"[(0, 38), (38, 50), (50, 59), (59, 75), (75, 108)]","[(39, 70)]",m4,0.71,MG,C3.1179,train,doc_4329,drugs such as alcohol and cigarettes are similarly harmful to marijuana with regards to effects on health and behavior . Another great medical marijuana pro is a reduction in the use,MG
"Citizens should demand proof of efficacy before funding or allowing any governmental agency to usurp personal liberties . < ref name= '' Washington University Law Quarterly '' / > − − Proponents use the discredited - but superficially appealing - claim that fewer lawfully-owned guns somehow leads to less crime , even though guns are primarily defensive weapons . As can only be expected , all kinds of statistics including gun death statistics are being used to their advantage by people engaged in a gun control debate .",gun control,"[(0, 31), (31, 58), (58, 88)]","[(35, 58)]",m1,0.852,IMP,C1.2926,test,doc_3989,"- but superficially appealing - claim that fewer lawfully-owned guns somehow leads to less crime , even though guns are primarily defensive weapons",DISP
"The source of wind energy is wind , produced by the uneven heating of the atmosphere by the solar energy ( Wind power program , 2006 ) . Advanced reactor systems that are passively safe , more efficient , and demonstrably cost effective are essential to the wider public acceptance of the nuclear role . live s. All these arguments about cheap energy seem ridiculous in front of the victims of Chernobyl and Fukushima We should n't be building nuclear power plants , because they 're da n While , there has been no proven point yet , nuclear energy being renewable or non renewable still remains a matter of confusion .",nuclear energy,"[(0, 28), (28, 54), (54, 56), (56, 87), (87, 112)]","[(19, 78)]",m8,0.8140000000000001,MG,C3.1875,train,doc_6233,"energy ( Wind power program , 2006 ) . Advanced reactor systems that are passively safe , more efficient , and demonstrably cost effective are essential to the wider public acceptance of the nuclear role . live s. All these arguments about cheap energy seem ridiculous in front of the victims of Chernobyl and Fukushima We should n't be",MG
"They could smoke on private property -- such as a balcony or front yard -- but not on public property . 35 Revenue would also be obtained in the form of money that would otherwise be spent on the prosecution and incarceration of marijuana users . 56 % Want Marijuana Legalized and Regulated Like Alcohol A solid majority , 56 percent , of registered American voters favor legalizing marijuana and regulating it in a manner similar to alcohol and tobacco , according to a new Rasmussen poll .",marijuana legalization,"[(0, 22), (22, 45), (45, 88)]","[(25, 45)]",m1,0.87,IMP,C1.1164,train,doc_4311,be obtained in the form of money that would otherwise be spent on the prosecution and incarceration of marijuana users,DISP
"Other research has examined the effects of minimum wages on the number of hours worked , firm profits , worker training , level of work effort , human resource practices , operational efficiencies , internal wage structures , and other parameters . Like workers being paid the minimum wage in the other 49 states , these Oklahoma workers ca n't even afford to pay for an average two-bedroom apartment by working a standard 40-hour work week . 166,000—number of workers in North Carolina who earn slightly above $ 9.00 an hour who would indirectly benefit from increase in minimum wage as employers incrementally increase their wages to reflect the new wage floor ( Ibid )",minimum wage,"[(0, 57), (57, 76), (76, 115)]","[(57, 66)]",m1,0.474,SP,C1.1457,train,doc_5198,workers ca n't even afford to pay for an,SP
"Indexing would prevent a repeat of the 34 percent decline in the real value of the minimum wage from 1978 to 1989 and the 19 percent decline in real value from 1998 to 2006 . In fact , fewer than a third of minimum-wage earners are in families with incomes below the poverty line . Over the years of our sample , the structural estimates generally imply a larger contribution of the minimum wage than do the reduced-form estimates , though both are always smaller than the OLS counterfactual changes . There is compelling evidence that some states would jump at the opportunity to opt out : seven states have no state minimum wage and two states have a state minimum wage that is lower than the federal minimum wage .",minimum wage,"[(0, 38), (38, 54), (54, 62), (62, 79), (79, 131)]","[(35, 77)]",m8,0.738,MG,C3.1632,train,doc_5871,"In fact , fewer than a third of minimum-wage earners are in families with incomes below the poverty line . Over the years of our sample , the structural estimates generally imply a larger contribution of the minimum wage than do the",MG
"ary Guns With single-action trigger to precisely control the air /paint mix , being particularly suitable for detail design work and easy The question is if Americans are evenly divided on having new gun control , how accurate can it be when gun control proponents claim that people want more gun control ? Citizens are greatly affected by the laws enacted by the government and it is hoped that they are working in the best interest of its citizens .",gun control,"[(0, 22), (22, 53), (53, 80)]","[(51, 53)]",-,0.0,MU,C2.2060,train,doc_3675,control ?,MU
"And even if nuclear energy were safe , clean and climate friendly , do the economics stack up in the long term ? The attacks on the United States on September 11 , 2001 showed that if terrorists acquired nuclear weapons , the results would be unimaginably catastrophic . Nuclear giant Areva threatens halt of Olkiluoto construction",nuclear energy,"[(0, 36), (36, 48), (48, 57)]","[(36, 48)]",-,1.0,PM,C1.2016,train,doc_6880,"if terrorists acquired nuclear weapons , the results would be unimaginably catastrophic",PM
"The clones are capable of performing techniques on their own and can even bleed , but will usually disperse after one or two solid blows . Epigenetic changes compatible with a viable foal may still cause the gene function of a cloned foal to differ somewhat from that of the donor ; therefore , the foal may potentially be shorter or taller , have more or less bone , etc . Shadow clones ca n't be distinguished from the actual person even by the Byakugan because the clones have the exact same amount of chakra and are n't made from any other substance .",cloning,"[(0, 54), (54, 70), (70, 104)]","[(54, 62)]",m1,0.5,SP,C1.406,train,doc_1829,the foal may potentially be shorter or taller,SP
The Advantages and Disadvantages of Gun Control Gun control is government limitations of the purchase and ownership of firearms in order to reduce violence caused by the use of the firearms . That places total victims who lost their lives because of gun control at approximately 56 million in the last century . MY SKIN OF ARMOR SO NO ONE CAN GET IN AND,gun control,"[(0, 34), (34, 52), (52, 64)]","[(34, 43)]",m1,0.5,SP,C1.2909,test,doc_3184,total victims who lost their lives because of gun,SP
"Also known as the death penalty , capital punishment is the most severe form of corporal . He can immediately commute all five death sentences , commute each sentence on a case by case basis , or do nothing . Abolishing the Death Penalty PA 12-5 eliminated the death penalty as a sentencing option for a capital felony committed on or after April 25 , 2012 , thus leaving life imprisonment without the possibility of release as the penalty .",death penalty,"[(0, 17), (17, 40), (40, 80)]","[(51, 65)]",-,0.0,MU,C2.1059,train,doc_2409,"a sentencing option for a capital felony committed on or after April 25 ,",MU
"If a clone is then taken of the first clone the yield still remains the same but potency is then lost . Since cloning will be expensive at first , wo n't only rich people be cloned ? As a result , the Empire eventually abandoned the technology and pursued the process of recruiting troopers in more traditional ways .",cloning,"[(0, 23), (23, 29), (29, 60)]","[(23, 29)]",-,1.0,PM,C1.488,train,doc_1924,cloning will be expensive at first,PM
"Setting a high tax rate or imposing hefty capital requirements could serve as barriers for current small-scale marijuana producers to enter the legal market , Crawford said . Cannabis is illegal to consume , possess , trade , cultivate and transfer in most countries .... Governor Jay Inslee and Washington Attorney General Bob Ferguson want Congress to fix the banking rules or ( at least ) give banks confidence that they can take money from state-licensed marijuana businesses without fear of federal prosecution .",marijuana legalization,"[(0, 28), (28, 33), (33, 84)]","[(26, 33)]",m6,0.4,SP,C1.1236,train,doc_4860,said . Cannabis is illegal to consume,SP
"Short-term and long-term effects of using cheap legal high powder . However , because of the classification of marijuana as a Schedule I drug , little research has been done to prove definitively that the use of marijuana for medical purposes has no value . The goal of the proposals is not just to pass a voter initiative legalizing medical marijuana in Ohio but for designing a campaign that could create a model for future campaigns in other states .",marijuana legalization,"[(0, 25), (25, 44), (44, 80)]","[(25, 34)]",m1,0.474,SP,C1.1257,train,doc_4891,little research has been done to prove definitively that,SP
For example when we think about the country of Chinahuman smuggling is the another crime that is necessary to give the death penalty who is the criminal of that crime . Argument against death penalty `` Eye for an eye '' and `` Tooth for a tooth '' will keep every person blind and toothless and life for a life can keep earth as cemetery . The amendments expands the crime of capital felony by adding offenses that include an element of using or attempting or threatening to use physical force against someone when the offender uses a stolen firearm .,death penalty,"[(0, 35), (35, 65), (65, 101)]","[(35, 50)]",m1,0.5,SP,C1.874,train,doc_2857,`` Eye for an eye '' and `` Tooth for a tooth '' will keep,SP
"Without a doubt , executions are considered the ultimate punishment for a crime , because there is no repeal from death . As U.S. Supreme Court Justice Sandra Day O ’ Connor , a death penalty supporter who was appointed by President Reagan , said “ If statistics are any indication , the system may well be allowing some innocent defendants to be executed . The death penalty is given by lethal injection , electrocution ; gas chamber firing squad and hanging are some of the ways that certain states may carry out their death penalty procedures",death penalty,"[(0, 52), (52, 64), (64, 97)]","[(45, 64)]",m6,0.417,SP,C1.720,train,doc_2670,"“ If statistics are any indication , the system may well be allowing some innocent defendants to be executed",SP
"From their perspective , anyone arrested with more than a few ounces of marijuana possesses more marijuana than should be allowed for personal possession and should be prosecuted for possession of marijuana with intent to distribute it . Half Would Be Uncomfortable around Marijuana Users About half of Americans ( 51 % ) say they would feel uncomfortable if people around them used marijuana while 48 % would not . But legalizing marijuana will not only hurt the users but it would hurt all Americans . AP An ATM sits next to a rack of marijuana clone plants that are used to grow medical marijuana on Wednesday at The Joint , a medical marijuana cooperative in Seattle .",marijuana legalization,"[(0, 45), (45, 64), (64, 71), (71, 85), (85, 118)]","[(48, 85)]",m3,0.81,MG,C3.1289,train,doc_4931,Americans ( 51 % ) say they would feel uncomfortable if people around them used marijuana while 48 % would not . But legalizing marijuana will not only hurt the users but it would hurt all Americans,MG
"Sativex , which has been approved for prescription in Canada , New Zealand and eight other European countries , uses two key natural elements of marijuana , CBD and THC . Further , another study performed by the Yale Medical School found that adolescents who use marijuana are at a greater risk for subsequent abuse of prescription opioids , more commonly known as pain killers . OLYMPIA , Wash. – State officials tasked with developing a legal marijuana industry in Washington state have a problem : There 's no similar system anywhere in the world that they can look to for guidance .",marijuana legalization,"[(0, 43), (43, 65), (65, 103)]","[(44, 65)]",m1,0.955,IMP,C1.1302,train,doc_4946,"who use marijuana are at a greater risk for subsequent abuse of prescription opioids , more commonly known as pain killers",DISP
"155 comments : I think that it is good that you showed other ways that women can prevent even having an abortion because I do n't believe that many know that there are ways to prevent it . Read more Abortion , one of the most controversial issues in the United States today , should remain legal because it helps to regulate population levels , keep unwanted children from being born , neglected , beaten ... The lack of access to health services and contraceptive methods along with the lack of knowledge regarding their use and function put women at risk of having unwanted pregnancies and multiple induced abortions .",abortion,"[(0, 58), (58, 75), (75, 110)]","[(60, 75)]",m1,0.882,IMP,C1.33,train,doc_45,"to regulate population levels , keep unwanted children from being born , neglected , beaten",DISP
"Nestdrop , the company behind the alcohol delivery service in California using a mobile app , has now pushed its software further by selling medical marijuana and sending it to a California address . Marijuana is the most frequently used illegal drug in the United States of America , and also in many other countries . If the bill passes , the state would manage recreational use of marijuana similarly to the way they regulate the use of alcohol .",marijuana legalization,"[(0, 34), (34, 56), (56, 80)]","[(38, 38)]",-,0.0,MU,C2.1164,train,doc_4478,,MU
"Moreover , the opposition of gun proponents to all forms of gun control has remained fierce . “ What is very unusual is that California also has a program by which we can remove guns , recover guns from people who have a gun and then subsequently become prohibited or dangerous , ” Brady Campaign spokeswoman Amanda Wilcox said at the time . Everyone is against gun violence ( pro-gun rights and pro-gun control ) .",gun control,"[(0, 17), (17, 63), (63, 76)]","[(49, 64)]",-,0.0,MU,C2.2446,test,doc_3372,"or dangerous , ” Brady Campaign spokeswoman Amanda Wilcox said at the time . Everyone",MU
"The Water Clone Technique is similar to the [ [ Shadow Clone Technique ] ] except it creates clones out of water thathave one-tenth of the original person 's power . The idea of ‘ wrongful life ’ is simply that an infant has been harmed and/or wronged by being brought to birth in a less than satisfactory condition or adverse circumstances . To get another clone of the original , you can select any of its existing clones and duplicate it ( Ctrl+D ) .",cloning,"[(0, 34), (34, 53), (53, 86)]","[(34, 43)]",m1,0.474,SP,C1.459,train,doc_1889,‘ wrongful life ’ is simply that an infant,SP
"r. It is likely that an attempt to clone humans would be based on the same meth Your data is cloned on our secure servers , nobody but you has access to your cloned data . The user using the source of the clone will never see the changes made to the clone .",cloning,"[(0, 17), (17, 36), (36, 54)]","[(21, 31)]",-,0.0,MU,C2.584,train,doc_1402,"on our secure servers , nobody but you has access",MU
"The wind turbine alternator is an essential part of a fuel efficient wind power generation system . P. Some members of the House and Senate are reluctant to acknowledge th at nuclear non-proliferation safeguards are more likely to be observed by countries if they 're given an opportunity to obtain nuclear fuel for electricity product i If the government supports nuclear energy ( a well established and easily scalable industry ) , newer and less mature renewable energy start-ups will have difficulty growing . Indeed , the over-hype of the nuclear crisis often relegated the crisis caused by the tsunami and it makes you wonder where the priority belongs ?",nuclear energy,"[(0, 30), (30, 55), (55, 56), (56, 83), (83, 110)]","[(24, 80)]",m8,0.875,MG,C3.1723,train,doc_6037,"Senate are reluctant to acknowledge th at nuclear non-proliferation safeguards are more likely to be observed by countries if they 're given an opportunity to obtain nuclear fuel for electricity product i If the government supports nuclear energy ( a well established and easily scalable industry ) , newer and less mature renewable energy start-ups will",MG
"According to the Oeko-Institut‬ ( the Institute for Applied Ecology ) the amount of electricity derived from renewable energy in Germany could even be doubled from its intended rate of 18 percent to 35 percent by 2020 . Yet , we already have an energy source so powerful that it is able to meet bulk-energy demands . It also provides land and habitat preservation because the plant itself requires only small space to operate . Exaggerated concerns with safety cropped up and the entire nuclear business was shrouded in uncertainty , ” Shwageraus explains .",nuclear energy,"[(0, 43), (43, 56), (56, 57), (57, 74), (74, 95)]","[(41, 69)]",m8,0.893,MG,C3.1806,train,doc_6147,already have an energy source so powerful that it is able to meet bulk-energy demands . It also provides land and habitat preservation because the plant itself requires,MG
47 Swedish providers also are able to perform medical abortions at lower cost than vacuum aspiration . s : Argument Against Abortion ] : : 14 Works Cite d Abortion Should NOT Be Legal - Abortion not only ends the life of the child before it has a chance but has health-related issues such a The National Network of Abortion funds fights against unfair laws while helping women who need abortions today .,abortion,"[(0, 28), (28, 54), (54, 73)]","[(28, 41)]",m1,0.5,SP,C1.243,train,doc_902,d Abortion Should NOT Be Legal - Abortion not only ends the life,SP
"Control rods are placed in the bundles to control heat in the reactor ; they are lowered to reduce the heat , raised to increase heat , or dropped all the way to shut the reactor down ( Nuclear Power Cycle ) . While the meltdown did not release significant levels of radioactive material into the atmosphere , this incident did spark citizen concern over the possibility of a more dangerous nuclear incident . Sometimes the plant leaks these radioactive wastes into the environment because damage . Large sensitivity of sub-threshold charged pion production to nuclear symmetry energy may reduce uncertainties of probing nuclear symmetry energy via heavy-ion collision .",nuclear energy,"[(0, 43), (43, 73), (73, 74), (74, 84), (84, 110)]","[(57, 84)]",m3,0.903,MG,C3.1920,train,doc_6748,", this incident did spark citizen concern over the possibility of a more dangerous nuclear incident . Sometimes the plant leaks these radioactive wastes into the environment",MG
"The process begins when someone is convicted of a crime and sentenced to death , but the execution can be delayed for years while the prisoner makes .. A new survey by the New York Times found that states without the death penalty have lower homicide rates than states with the death penalty . In an individual case , the law allows a judge to overturn the death sentence or prevent prosecutors from seeking the death penalty if bias is shown .",death penalty,"[(0, 38), (38, 53), (53, 82)]","[(38, 45)]",m1,0.467,SP,C1.744,train,doc_2700,states without the death penalty have lower,SP
"The possibility of humancloning , raised when Scottish scientists at Roslin Institute created the much-celebrated sheep `` Dolly '' , aroused worldwide interest and concern because of its scientific and ethical implications DNA cloning is used in genetic engineering to create microorganisms , plants or animals with desirable features . As a consequence of scientific and biotechnological progress during the past decades , new biological therapies involving somatic cells and genetic material are being ...",cloning,"[(0, 32), (32, 49), (49, 75)]","[(37, 49)]",m1,0.706,IMP,C1.282,train,doc_1007,"genetic engineering to create microorganisms , plants or animals with desirable features",DISP
The minimum wage is automatically replaced with the Federal minimum wage rate if it is higher than the State minimum wage rate . A minimum rate of wages for time work ; ( ii ) ( ii ) A minimum rate of wages for piece work ; ( iii ) ( iii ) The debate over increasing the minimum wage usually includes claims about the impact of this action on employment levels and wage levels .,minimum wage,"[(0, 23), (23, 53), (53, 76)]","[(4, 4)]",-,0.0,MU,C2.1554,train,doc_5586,,MU
"Clearly such tests seek to eliminate a certain class of human beings many of whom will have their lives taken merely for being disabled . Provides exceptions for pregnancies resulting from rape or incest ; or life-endangering maternal condition . Most people recognize that the prefix `` pro '' means that you support something , and `` anti '' means that you are against it .",abortion,"[(0, 25), (25, 39), (39, 66)]","[(27, 39)]",m1,0.857,IMP,C1.87,train,doc_110,for pregnancies resulting from rape or incest ; or life-endangering maternal condition,DISP
"California 's death penalty system is the nation 's largest , with 729 condemned inmates on death row as of August , according to the California Department of Corrections and Rehabilitation . Once they are put to death , there is absolutely no recidivism to worry about . They also recommend that appeals courts be allowed to hear death penalty appeals , which currently can be heard only by the state Supreme Court .",death penalty,"[(0, 32), (32, 47), (47, 74)]","[(33, 47)]",m1,0.933,IMP,C1.611,train,doc_2111,"they are put to death , there is absolutely no recidivism to worry about",DISP
"And while many gun control advocates are disappointed that Congress didn ’ t pass new laws , the president did take some limited , but valuable , executive actions , including freeing up more money to fund research into gun violence prevention . http : //www.timesonline.co.uk/tol/news/politics/article3168607.ece < /ref > + `` ' Gun control '' ' laws restrict the purchase or ownership of guns , even though guns are typically acquired for defensive and/or sporting purposes . The groups that favor stricter laws regulating firearms do in fact use the term `` gun control '' , often and in a positive way .",gun control,"[(0, 52), (52, 76), (76, 103)]","[(52, 64)]",m1,0.5,SP,C1.2933,test,doc_3932,Gun control '' ' laws restrict the purchase or ownership of guns,SP
"Finally , the abolition of the death penalty will necessary have to go in tandem with a variety of measures such as prisons reform , effective alternative to the death penalty , sentencing guidelines , victimology , and forensic psychiatric . Again , execution preserves human dignity , it does not defile it . '' But taking the easy way out implies avoiding having to deal with real problems .",death penalty,"[(0, 43), (43, 53), (53, 70)]","[(43, 53)]",-,1.0,PM,C1.588,train,doc_2083,"execution preserves human dignity , it does not defile it",PM
"I have shopped there for at least 10 years , and have found if you start there you can often avoid a trip to several stores around a mall . Parents can feel more secure that their daughters are dressed appropriately . People would also argue that part of their freedom is being taken from them by not being able to wear the clothing they wish to wear . The Asahi Shimbun stated that `` [ t ] he form is snug to enhance the figure—the small collar helps the head look smaller , for better balance '' .",school uniforms,"[(0, 30), (30, 41), (41, 47), (47, 68), (68, 99)]","[(30, 60)]",m2,0.8,MG,C3.2075,train,doc_7246,Parents can feel more secure that their daughters are dressed appropriately . People would also argue that part of their freedom is being taken from them by not being able,MG
"Gun-control proponents can only pray that Obama doesn ’ t take Menino and Bloomberg ’ s bait . and , for most of that time , the British had no more stringent gun control laws than the United States . In addition , the gateway control at 260 detects other errors , for example , errors in processing the part that are received from the gun controls .",gun control,"[(0, 18), (18, 40), (40, 68)]","[(21, 34)]",-,0.0,MU,C2.2197,train,doc_3549,"most of that time , the British had no more stringent gun control",MU
"But it does note that “ High construction costs and used fuel disposal are two major challenges to building new plants ” . The double challenge over the next 10–20 years will be to keep promoting economic development by providing reliable , safe and affordable energy while significantly reducing GHG emissions . The consideration of the brittle destruction under cosmic ray bombardment may be essential for equipment of deep space missions .",nuclear energy,"[(0, 23), (23, 52), (52, 72)]","[(43, 61)]",-,0.0,MU,C2.1764,train,doc_6552,and affordable energy while significantly reducing GHG emissions . The consideration of the brittle destruction under cosmic ray,MU
"Since Germany does not have uranium — needed to produce nuclear energy — it , too , is imported . P. Some members of the House and Senate are reluctant to acknowledge th at nuclear non-proliferation safeguards are more likely to be observed by countries if they 're given an opportunity to obtain nuclear fuel for electricity product i The hazard of radioactive leaks like Chernobyl accidents is lack of waste disposal facillity .",nuclear energy,"[(0, 33), (33, 58), (58, 74)]","[(33, 58)]",-,1.0,PM,C1.1723,train,doc_6037,at nuclear non-proliferation safeguards are more likely to be observed by countries if they 're given an opportunity to obtain nuclear fuel for electricity product,PM
"In television and movies , the presentation of marijuana , its uses and its users are vulnerable and susceptible to stereotypes . The idea that marijuana is a harmless recreational pastime has been disproved through continuing scientific research . Hoping to keep pot users away from dealers of harder drugs , the country in the late 1970s began allowing `` coffee shops '' to sell marijuana , which remains technically illegal .",marijuana legalization,"[(0, 22), (22, 38), (38, 72)]","[(22, 30)]",m1,0.5,SP,C1.1285,train,doc_4926,The idea that marijuana is a harmless recreational,SP
"How hazardous is radioactive waste ? The wind that blew from Chernobyl also came across to Britain and caused acid and other toxic rain that ruined farmland , making the soil radioactive . The source of wind energy is wind , produced by the uneven heating of the atmosphere by the solar energy ( Wind power program , 2006 ) .",nuclear energy,"[(0, 6), (6, 32), (32, 61)]","[(6, 45)]",m2,0.667,MISP,C1.1963,train,doc_6801,"The wind that blew from Chernobyl also came across to Britain and caused acid and other toxic rain that ruined farmland , making the soil radioactive . The source of wind energy is wind , produced by the uneven",DISP
"The presence of a large Catholic population reduces the number of hospitals offering abortion services and leads indirectly to lower abortion rates . In developing countries , around 80 % of women who have unplanned pregnancies have limited or no access to contraception . A medical abortion ( or what some call , `` the abortion pill '' ) is one that is brought about by taking medications that will end a pregnancy .",abortion,"[(0, 23), (23, 43), (43, 74)]","[(23, 33)]",m1,0.5,SP,C1.26,train,doc_36,"In developing countries , around 80 % of women who",SP
"Of further note , in the bill that recently passed the House , the minimum wage increase would benefit 5.6 million workers , while the estate tax reduction would primarily benefit 8,200 very wealthy estates . Some studies find no harm to employment from federal or state minimum wages , others see a small one , but none finds any serious damage . '' Currently 32 states ( including the District of Columbia ) require employers to pay tipped workers an hourly wage that exceeds the national tipped minimum of $ 2.13 – and seven of these states require employers to pay both tipped and non-tipped workers the same state minimum wage before tips .",minimum wage,"[(0, 37), (37, 49), (49, 115)]","[(37, 49)]",-,1.0,PM,C1.1429,train,doc_5159,studies find no harm to employment from federal or state minimum wages,PM
"An activist smokes a marijuana cigarette as they poses for photos in front of the Congress in Montevideo , Uruguay , Tuesday 18 dumb things people think legal pot will do If outdoor growing is allowed in the state ’ s new rules , Eastern Washington farmers will stop growing wheat , grapes and apples and the entire countryside will be covered in marijuana and hemp . Advanced Nutrients is the only hydroponics nutrients company that makes its products specifically for marijuana .",marijuana legalization,"[(0, 31), (31, 66), (66, 83)]","[(31, 66)]",-,1.0,PM,C1.1203,train,doc_4808,"If outdoor growing is allowed in the state ’ s new rules , Eastern Washington farmers will stop growing wheat , grapes and apples and the entire countryside will be covered in marijuana and hemp",PM
Being persuasive can also be an extremely handy tool to have in relationships . Marijuana can be used in different ways like to help with cancer or other diseases . That isn ’ t to say that current drug policies aren ’ t also costly to the criminal justice system .,marijuana legalization,"[(0, 14), (14, 29), (29, 51)]","[(18, 29)]",m1,0.733,IMP,C1.1158,train,doc_4302,in different ways like to help with cancer or other diseases,DISP
"Uruguay 's Senate approved the world 's first national marketplace for legal marijuana Tuesday , an experiment that puts the government in charge of growing , selling and using a drug that is illegal almost everywhere else . Despite the success of medical marijuana laws , there is much more work to be done in order to end the massive number of marijuana arrests nationwide . The movement , dubbed “ Safer Arizona , ” wants to get an initiative on the ballot this fall that would allow recreational sales and any adult to grow up to 12 plants .",marijuana legalization,"[(0, 46), (46, 65), (65, 100)]","[(46, 65)]",-,1.0,PM,C1.931,train,doc_4028,there is much more work to be done in order to end the massive number of marijuana arrests nationwide,PM
"Civilian cooperation allows nuclear technology and materials necessary for a nuclear weapons program and helps educate people in the science relevant to bomb building . But Indirectly , air pollution , mining accidents have killed far more than ( per watt generated ) over the last 50+ years - Regarding costs , yes it is currently more but exorbitantly huge . Ireland Administrative Arrangement Between the Canadian Nuclear Safety Commission and the Radiological Protection Institute of Ireland for Import and Export of Radioactive Sources Description :",nuclear energy,"[(0, 28), (28, 48), (48, 86)]","[(28, 38)]",m1,0.5,SP,C1.1743,train,doc_6062,"air pollution , mining accidents have killed far more than",SP
"Primary schools tend to be relatively small and many children live within walking distance . Teachers in the school have also expressed frustration over the uniforms — some feeling administrators are not trying hard enough to enforce it , others feeling that it ’ s a waste of time , according to Helder . It 's not , so it 's reasonable to be against school uniforms because there is n't a cause and effect relationship - something else is causing the violence , bad behavior and poor performance .",school uniforms,"[(0, 27), (27, 49), (49, 90)]","[(27, 38)]",m1,0.5,SP,C1.2878,test,doc_7891,some feeling administrators are not trying hard enough to enforce it,SP
"While opponents of capital punishment are quick to point out that the United States remains one of the few Western countries that continues to ... So I 'm pleased to say that the myth of California 's death penalty is widely being exposed , as more and more people realize that a functional and efficient death penalty system belongs firmly in the Not-Reality Column . Around the country and around the world , the use of the death penalty is in decline .",death penalty,"[(0, 51), (51, 64), (64, 83)]","[(52, 64)]",m1,0.923,IMP,C1.682,train,doc_2615,functional and efficient death penalty system belongs firmly in the Not-Reality Column,DISP
