Sentence,Topic,Indices,ArgumentIndices,Move,RValue,Class,SentenceId,Set,DocId,PredictedArgument,CoarseClass
"All people should give a hand to do this better and governments play a vital role on encouraging and distributing those . The clearance of minority of language means that a national traditional , customs and habitants do not exist . But the others do not believe it is possible .",Several languages are in danger of extinction,"[(0, 22), (22, 40), (40, 51)]","[(22, 40)]",-,1.0,PM,C1.791,train,essay074,"The clearance of minority of language means that a national traditional , customs and habitants do not exist",PM
"In today 's world , the concept of the welfare state requires governments to provide sustainable healthcare and health education to their citizens . Therefore , a government 's role should be providing means that lead its citizens to learn how to prevent from potential illness that can cause misery in people 's lives . The first reason why education and preventative measures should receive a greater budget is the potential improvements in health system .",A greater proportion of the budget should be allotted to education and prevention issues,"[(0, 26), (26, 54), (54, 76)]","[(26, 40)]",m1,0.5,SP,C1.1804,train,essay171,a government 's role should be providing means that lead its citizens to learn,SP
"However , it can be seen that some people have argued against advertising due to its negative impacts . From all of these , it is easy to see why the idea that advertising is a positive part of life will garner strong support . Both views will be critiqued before a reasonable conclusion is drawn .",Advertising - positive or negative part of our lives,"[(0, 19), (19, 45), (45, 57)]","[(5, 11)]",-,0.0,MU,C2.556,test,essay082,seen that some people have argued,MU
"There is a controversial debate around the world about the duties of citizen . On the other hand , a person has to unite with other people in the community so as to develop their nation . In this way , the crime rate is reduced and society becomes a peaceful place , so the country will develop at a rapid pace . Some people believe that paying tax is the only responsibility of citizens , while others disagree and think that being a person in society involves more responsibilities .",Citizen's only responsibility is to pay taxes,"[(0, 19), (19, 36), (36, 41), (41, 62), (62, 91)]","[(12, 59)]",m8,0.745,MG,C3.1175,train,essay110,"citizen . On the other hand , a person has to unite with other people in the community so as to develop their nation . In this way , the crime rate is reduced and society becomes a peaceful place , so the country will develop at",MG
"That is why governmental and non-governmental organizations have been focus on being harmony and contribute to aid to poor countries . In addition , a great amount of materials and money have poor countries being corrupted and politically dependent on other countries . In this world , there is no one who does not know this world 'globalization ' , which means the world are more closer , and every single countries affects each other more than before in many ways .",Giving aid to poorer countries has more negative effects than positive effect,"[(0, 24), (24, 42), (42, 82)]","[(24, 42)]",-,1.0,PM,C1.296,train,essay032,a great amount of materials and money have poor countries being corrupted and politically dependent on other countries,PM
"I personally disagree with this view . Air-conditioners , computers , cellphones , washing machines , for example , is likely to be seen as greatest inventions helping people to reduce stress and time for other activities . Some individuals assume that this technological development also causes many drawbacks impacting seriously on our lives .",Negative effects of technological process,"[(0, 7), (7, 37), (37, 55)]","[(7, 22)]",m1,0.5,SP,C1.4009,train,essay383,"Air-conditioners , computers , cellphones , washing machines , for example , is likely to",SP
"For example , right now , I am in the U.S . Thus , these types of communications make me feel personal . I will give several reasons to support my opinion .",Telephones and emails have made personal communication less required,"[(0, 14), (14, 22), (22, 33)]","[(8, 22)]",m6,0.375,SP,C1.2836,train,essay272,"in the U.S . Thus , these types of communications make me feel personal",SP
"They also believe that this solution is the most appropriate way to utilize the public money . This is because the money instead of being used to supply the electronic gadget can be used for other useful purposes for the country . Today , the rate of unemployment is on the rise and is seriously being debated by many .",Giving mobile phones to the unemployed,"[(0, 20), (20, 41), (41, 60)]","[(20, 30)]",m1,0.476,SP,C1.901,train,essay084,the money instead of being used to supply the electronic,SP
"Choice of course should be the discretion of the student and their merit , irrespective of the gender . Women like Margaret Thatcher , Indira Gandhi , Mari Curie etc. , are symbols of women 's intelligence and skills .",Should universities accept equal number of males/females or not,"[(0, 19), (19, 30), (30, 40)]","[(19, 24)]",m1,0.455,SP,C1.664,train,essay062,"Women like Margaret Thatcher ,",SP
"In this essay , I would start by analyzing the advantages for doing this for both students and companies , and then I would draw a conclusion at the end . As for the companies , the unpaid interns can no doubt save some money . The purpose of this essay is to discuss what can students and the organizations benefit from the activity that the students sent by their schools to work for companies without salaries .",Benefits of students' unpaid work,"[(0, 31), (31, 45), (45, 78)]","[(33, 45)]",m1,0.857,IMP,C1.409,train,essay041,"the companies , the unpaid interns can no doubt save some money",DISP
"This essay will compare both negative and positive consequences of this effect on infants . Fame is a great responsibility for public people as their admirers are very sensitive to any acts of their idols . Today , celebrities appear to become a spotlight of the mass media .",Question about the influence of the media coverage of celebrities,"[(0, 15), (15, 35), (35, 49)]","[(15, 35)]",-,1.0,PM,C1.3604,train,essay336,Fame is a great responsibility for public people as their admirers are very sensitive to any acts of their idols,PM
"Any human activity causing harm to Earth should be controlled and alternate ways should be devised to control damage . Harmful chemicals present in industrial waste kills lot of sea creatures in oceans or rivers . Firstly , rapid development of infrastructure is eating most of the forest throughout world . '' Save the planet Earth '' is a common line which can be read and heard all over the world .",Human activities are harming the Earth,"[(0, 20), (20, 35), (35, 38), (38, 50), (50, 72)]","[(20, 48)]",m2,0.893,MG,C3.1144,train,essay107,"Harmful chemicals present in industrial waste kills lot of sea creatures in oceans or rivers . Firstly , rapid development of infrastructure is eating most of the forest",MG
"Hence , I recommend that big sports events should be held more frequently in the future . In fact , some hooligans were so excited that they took part in motor racing or using fireworks illegally . When witnessing our national flags flying proudly among others , many of us can stop hiding our pride and happiness . Whenever an international sporting occasion like the football World Cup takes place , it attracts millions of people all over the world .",Roles of international sports events,"[(0, 20), (20, 36), (36, 37), (37, 57), (57, 81)]","[(11, 55)]",m8,0.7729999999999999,MG,C3.1025,test,essay097,"more frequently in the future . In fact , some hooligans were so excited that they took part in motor racing or using fireworks illegally . When witnessing our national flags flying proudly among others , many of us can stop hiding our pride",MG
"The following reasons will present my points . Second , a driving car can make a lot of different pollutions to the world . Both of the opposite arguments appear to be somewhat convincing and stand to reason .",The car use will definitely decrease in twenty years,"[(0, 10), (10, 23), (23, 39)]","[(10, 16)]",m1,0.462,SP,C1.2627,test,essay255,a driving car can make a,SP
"Technology has been developing so quickly and becoming more perfect every day . Anyone can meet this problem once in any conversation . Additionally , honesty is necessary for every conversation and also fluency ca n't be missing for a persuasive expression .",E-mail or Voice mail Versus Telephone or face to face,"[(0, 13), (13, 22), (22, 43)]","[(0, 22)]",m3,0.409,MISP,C1.2498,test,essay243,Technology has been developing so quickly and becoming more perfect every day . Anyone can meet this problem once in any conversation,DISP
"In conclusion , there are many valuable factors about roommate that are important . Moreover , communication is as well making a good roommate . The sky is the limit ; there are all kinds of personality out there .",Roommates quality and their importance,"[(0, 16), (16, 24), (24, 40)]","[(8, 24)]",m3,0.5,MISP,C1.97,train,essay009,"about roommate that are important . Moreover , communication is as well making a good roommate",DISP
"What do you think when you see a beautiful building ? Undoubtedly it is wise advice which you have hard study to success on exam . For example in football game it is said that penalty-kick need good chance to be goal . Also it is ridiculous if you think world wide webs such as Google , Yahoo etc .",What's more important: hard work or luck?,"[(0, 12), (12, 25), (25, 28), (28, 42), (42, 60)]","[(9, 40)]",m8,0.806,MG,C3.2663,train,essay257,building ? Undoubtedly it is wise advice which you have hard study to success on exam . For example in football game it is said that penalty-kick need good chance to,MG
"Nowadays , technology plays an indispensable role in almost all spheres of life . To start with , since technology was introduced , student have been exposed to a wide range of information , which neccessarily broaden their minds . In education , it is believed that technology help the students improve their scholastic performances .",Technology helps student learn more information and learn more quickly?,"[(0, 19), (19, 39), (39, 56)]","[(25, 39)]",m1,0.7,IMP,C1.4001,test,essay382,"been exposed to a wide range of information , which neccessarily broaden their minds",DISP
"So students should learn both from their teachers as well as modern technology to gain the best learning outcome . Computers can be programmed to provide an endless numbers of questions in diverse range of fields , and as the students answer these questions , the facts has been learned and reinforced . The way in which children today study is radically different from any previous generations , and the increased availability and relatively low price of modern technology has been instrumental in this change .",Teachers lesson vs other sources,"[(0, 20), (20, 52), (52, 86)]","[(20, 36)]",m1,0.5,SP,C1.1412,test,essay136,Computers can be programmed to provide an endless numbers of questions in diverse range of fields,SP
"Everyone has their method to success in life . Some students benefit a lot when they study with groups . To conclude , there are many ways to study and it is our right to choose which is suitable for our characters whether alone or with group .",Some students prefer to study alone,"[(0, 9), (9, 20), (20, 48)]","[(31, 33)]",-,0.0,MU,C2.1117,test,essay199,is our,MU
It is argued that parents who are the closet to children mainly contribute to their accomplishments . It goes without saying that no pupil can succeed at school unassisted . Their success should be attributed to many different external factors .,Classmates' impacts on children's performance at school,"[(0, 17), (17, 30), (30, 41)]","[(22, 38)]",-,0.0,MU,C2.2337,test,essay386,no pupil can succeed at school unassisted . Their success should be attributed to many different,MU
"There is a saying in my native village , `` Health is Wealth '' . The repercussion are so severe that their families and friends remain deprived off their attention and in the end they end up losing balance between their family and personal life . The need for increased working hours might be because of enhanced competitive environment and desire to acquire much money and promotion .",Working Extended hours should restricted,"[(0, 15), (15, 45), (45, 68)]","[(15, 45)]",-,1.0,PM,C1.3670,train,essay345,The repercussion are so severe that their families and friends remain deprived off their attention and in the end they end up losing balance between their family and personal life,PM
"Pets have always been essential in our society . Cats and dogs are the most common pets but there are birds , tortoises and fishes as well . To illustrate this point , I can write about my own experience .",Our useful friends,"[(0, 9), (9, 28), (28, 41)]","[(12, 30)]",-,0.0,MU,C2.1926,train,essay313,"are the most common pets but there are birds , tortoises and fishes as well . To illustrate",MU
"It can influence us in different aspects of life . Furthermore , they can meet different people of the country . Studying abroad is one very common thing that students do , and they have different reasons for that .",Studies abroad and the cultural aspect of the experience,"[(0, 12), (12, 20), (20, 40)]","[(12, 20)]",-,1.0,PM,C1.65,test,essay006,they can meet different people of the country,PM
"When it comes to whether zoos should exist on contemporary society , animal-right activists strongly recommended that wildlife belong to natural environment and zoos should be banned . Further , children could acquire the information regarding how to protect wild animals according to guided tour or volunteers . What the zoos should do is improvement of the management system and use the income wisely in preserving wild animals better .",Zoos should be banned,"[(0, 30), (30, 47), (47, 70)]","[(30, 47)]",-,1.0,PM,C1.816,test,essay077,children could acquire the information regarding how to protect wild animals according to guided tour or volunteers,PM
"In this essay , I would start by analyzing the factors for higher yields and finish by stating my position on this . Workers understand they have to work harder to meet the boss ' expectations and to make themselves worthwhile . The purpose of this essay is to discuss whether or not the only way to motivate employees to be more hard-working and productive is by raising their salaries .",Paying more money is the only motivation to make employees work harder,"[(0, 23), (23, 41), (41, 71)]","[(26, 41)]",m1,0.833,IMP,C1.415,test,essay042,have to work harder to meet the boss ' expectations and to make themselves worthwhile,DISP
"It is not guaranteed that you are going to achieve your dream if you had planned carefully as the same way when you take risks , but it is more frustrating if you had made plans and then it went wrong . One of the difficulties was some of his histories , such as Mickey Mouse and Three Little Pigs , were turned down . The ones who have a big dream , they need to be brave and dare to live new situations .",The biggest risk is not taking any risk,"[(0, 42), (42, 64), (64, 85)]","[(42, 53)]",m1,0.5,SP,C1.3544,train,essay329,"One of the difficulties was some of his histories , such",SP
"Skills which help them live and survive in their residing areas . In my opinion , we must help animals live safely and comfortably in their own environment . For instance , I recall my first trip to a zoo , at age eight .",Should animals be free or live in zoos?,"[(0, 16), (16, 28), (28, 45)]","[(15, 28)]",m6,0.417,SP,C1.1966,train,essay194,", we must help animals live safely and comfortably in their own environment",SP
"Some students benefit a lot when they study with groups . For example , answering our homework alone encourages us to be more responsible and independent . Additionally , we are building our personalities when we study alone . To conclude , there are many ways to study and it is our right to choose which is suitable for our characters whether alone or with group .",Some students prefer to study alone,"[(0, 14), (14, 26), (26, 29), (29, 38), (38, 67)]","[(15, 38)]",m3,0.869,MG,C3.2025,test,essay199,"our homework alone encourages us to be more responsible and independent . Additionally , we are building our personalities when we study alone",MG
"Nowadays , in order to save as much budget as possible and improve the economy of the country , every government around the world is seeking for some ways to spend wisely . For example , monuments that represent each city do not only illustrate the city 's history and culture , but also make the city more beautiful and an attractive place for tourists . In my view , I firmly disagree with this recommendation due to several reasons .",Funding artists,"[(0, 36), (36, 65), (65, 81)]","[(36, 50)]",m1,0.483,SP,C1.1225,train,essay116,monuments that represent each city do not only illustrate the city 's history and,SP
"created by chance . Also it is ridiculous if you think world wide webs such as Google , Yahoo etc . Howbeit some people think that luck is cause of a lot of success , but to be frank I can not agree with them .",What's more important: hard work or luck?,"[(0, 4), (4, 21), (21, 46)]","[(2, 16)]",-,0.0,MU,C2.1469,train,essay257,chance . Also it is ridiculous if you think world wide webs such as,MU
"The increasing population and the technological advancements demand more energy than in the past . In the same way , the use of nuclear energy as an alternative to the hydro-kinetic energy causes less atmospheric pollution . It is believed that there are various other resources such as the nuclear and solar which are abundant and eco-friendly .",Government should make more effort to promote alternative sources of energy,"[(0, 20), (20, 36), (36, 58)]","[(24, 36)]",m1,0.75,IMP,C1.441,train,essay044,energy as an alternative to the hydro-kinetic energy causes less atmospheric pollution,DISP
"With the rapid development of economy , the controversial of good worker 's requirement is always in a limelight . Because it can not only benefit our employers , but also ourselves will be rewarded . A large number of people will say the ability to adapt oneself to a new environment is necessary , because it is the basic communication skill for a new worker .",Excellent knowledge is better than ability to adopt oneself,"[(0, 21), (21, 35), (35, 67)]","[(22, 35)]",m1,0.929,IMP,C1.3494,train,essay325,"can not only benefit our employers , but also ourselves will be rewarded",DISP
"The modern times have witnessed profound changes in most aspects of life , including the revolution of feminism . This , contrary to some ideas , is a positive progress in human society from my point of view . Women have been opened up to more chances than ever .",Nowadays there are more opportunities for women than there were in the past,"[(0, 19), (19, 33), (33, 50)]","[(19, 33)]",-,1.0,PM,C1.733,train,essay069,"This , contrary to some ideas , is a positive progress in human society",PM
"The population explosion results in the high demands of transportation . For instance , I always leave school at the time that everybody rushes into the roads and hastily goes home . Many countries have suffered from pollution , noisy and casualty for a long time .",Government should regard investing in building roads as the most important,"[(0, 14), (14, 31), (31, 47)]","[(14, 22)]",m1,0.471,SP,C1.2206,train,essay216,I always leave school at the time that,SP
"To sum up both contentions about the necessity of universities ' education have reasonable justifications ; however , I agree with the latter view . In this essay , I will analyze both views first in order to come up with a fool-proof decision . Persistent deliberation is happening as to whether it is desirable for the youth to go to university .",Young people should go to university or not,"[(0, 25), (25, 45), (45, 63)]","[(6, 33)]",-,0.0,MU,C2.112,train,essay022,"the necessity of universities ' education have reasonable justifications ; however , I agree with the latter view . In this essay , I will analyze both",MU
"Indeed , children grow up with two important people , their parents and teachers , and both are important in children 's development . However , in comparison to teachers , parents tend to have less knowledge to teach their children 's subjects such as mathematics and physics . For instance , to be able to obtain the teacher certificates , people need years of training at their normal schools to learn theoretical knowledge . Recently , there has been a social concern with regard to who is the best teacher for children 's education .",Teacher is the best option for children's education in some aspects,"[(0, 26), (26, 48), (48, 52), (52, 74), (74, 96)]","[(19, 71)]",m8,0.788,MG,C3.3960,train,essay378,"in children 's development . However , in comparison to teachers , parents tend to have less knowledge to teach their children 's subjects such as mathematics and physics . For instance , to be able to obtain the teacher certificates , people need years of training at their normal schools to",MG
"There are two reasons to support my idea . Not only the up-to-date news , but also there are many programs which has educational purposes . Nowadays , we have undergone many technology innovations such as Tv .",Tv has NO negative effects on children,"[(0, 9), (9, 25), (25, 38)]","[(11, 25)]",m1,0.875,IMP,C1.2292,train,essay223,"the up-to-date news , but also there are many programs which has educational purposes",DISP
"Voice mail , e-mail , telephone or just traditional way : face-to-face . Some people think that the face-to-face conversations make them feel stupid . Technology has been developing so quickly and becoming more perfect every day .",E-mail or Voice mail Versus Telephone or face to face,"[(0, 17), (17, 24), (24, 38)]","[(12, 24)]",m6,0.429,SP,C1.2489,test,essay243,. Some people think that the face-to-face conversations make them feel stupid,SP
"In many societies , choice of a job depends on the size of the salary offered . To begin with , I agree that in order for people to cover their daily and general needs they need money as well . In this sense , it is also one very salient proof of the accuracy of my position .",Factor of choosing a career.,"[(0, 24), (24, 40), (40, 59)]","[(24, 40)]",-,1.0,PM,C1.3708,train,essay351,in order for people to cover their daily and general needs they need money as well,PM
"Presently , it is commonly accepted that students have to learn over eight subjects in school . However , the drawbacks of this teaching method can not be neglected . Public retain differing views on whether to teach students all subjects or just focus on one subject .",Should teenagers learn all school subjects/focus on one subject,"[(0, 17), (17, 30), (30, 48)]","[(28, 47)]",-,0.0,MU,C2.323,train,essay055,neglected . Public retain differing views on whether to teach students all subjects or just focus on one subject,MU
"Some people thought that they should follow the local customs in order to integrate into their adopted countries ’ cultures . Fail to create this familiarity makes them felt isolated , in the extreme can lead to social disorder like autism . People moved due to a number of reasons , namely better educations or higher salary jobs .",More people are migrating to other countries than ever before,"[(0, 21), (21, 41), (41, 59)]","[(21, 41)]",-,1.0,PM,C1.20,train,essay002,"Fail to create this familiarity makes them felt isolated , in the extreme can lead to social disorder like autism",PM
"Therefore it is recommended that young people should be educated not to follow these celebrities blindly , rather they should focus on their career so that they may hope for a bright future . It is agreed that following celebrities can be dangerous for the youth . Young people all over the world are greatly influenced by media and celebrities .",Effect of celebrities on youth,"[(0, 38), (38, 46), (46, 61)]","[(38, 46)]",-,1.0,PM,C1.3837,train,essay366,following celebrities can be dangerous for the youth,PM
"Both options have their advantages and disadvantages . This is only partially true , you could rent the extra rooms in the apartment to other people and rent would be a lot cheaper . Many students prefer to live in the university dormitories while others prefer an apartment in the city .",Apartments vs dormitories at university,"[(0, 14), (14, 33), (33, 52)]","[(14, 33)]",-,1.0,PM,C1.1813,test,essay172,you could rent the extra rooms in the apartment to other people and rent would be a lot cheaper,PM
"Otherwise , the violent crime rate will rise continuously and out of control someday . What the government should do immediately is to strengthen censorship to control the amount of violence in media . We can not deny that our society is occupied with the violent scenes and plots at present . Obviously , violence in the media is often portrayed as extreme as possible in order to attract audiences .",Should government control media crime,"[(0, 15), (15, 33), (33, 39), (39, 51), (51, 71)]","[(21, 51)]",m3,0.8,MG,C3.732,test,essay068,is to strengthen censorship to control the amount of violence in media . We can not deny that our society is occupied with the violent scenes and plots at present,MG
"However , many people argue that computer more give obstacle than a help in social life . Communication by feature-computer such as email and internet help busy businessmen to make deal with relation even in different country . Other sides believe that it becomes prominent thing , and they can not do anything without that device .",Nowadays human activities are influenced by computer use,"[(0, 17), (17, 37), (37, 57)]","[(20, 37)]",m1,0.85,IMP,C1.1385,train,essay133,such as email and internet help busy businessmen to make deal with relation even in different country,DISP
"'' A picture is worth a thousand words '' is a popular maxim that is being used for a very long time . Furthermore , the primary way of educating students is also by this way . Looking from another perspective , written words are also vital in order to spread across certain messages . Nevertheless , the importance of written word can never be denied as it is also another way of communication that is commonly used .",Is image more powerful than the written word?,"[(0, 25), (25, 36), (36, 42), (42, 54), (54, 79)]","[(25, 54)]",m1,0.7929999999999999,MG,C3.786,train,essay073,"the primary way of educating students is also by this way . Looking from another perspective , written words are also vital in order to spread across certain messages",MG
"It is unquestionable that salary increases and promotions to new positions are very common way to reward employees for good work . Firstly , training time can provide employee interesting time outside working office to refresh their mind . My arguments for this point are listed follows .",Salary increases and promotions to new positions are not the only ways,"[(0, 24), (24, 38), (38, 48)]","[(24, 31)]",m1,0.5,SP,C1.1752,train,essay164,training time can provide employee interesting time,SP
"It 's just like a picky mirror through which we can see the bad side of us and thus try to become more beautiful and confident . Second , taking criticism is a virtue as you take someone 's opinion that is against you . Personally , I agree with this statement .",People who can’t accept others’ criticism can’t succeed in group working,"[(0, 29), (29, 44), (44, 53)]","[(29, 36)]",m1,0.467,SP,C1.2579,train,essay251,taking criticism is a virtue as you,SP
"Two main ways of learning about life are listening to the advice of family and friends and learning through personal experience . I believe that experiencing the real life by myself , I could learn more than just obey the advice . In summary , each way learning life has its own benefits .",The best way of learning life,"[(0, 25), (25, 41), (41, 54)]","[(29, 41)]",m1,0.75,IMP,C1.2226,train,essay217,"by myself , I could learn more than just obey the advice",DISP
Young people all over the world are greatly influenced by media and celebrities . This will be proven by looking at how health and personality of young people is affected by following celebrities as their mentors . These celebrities are popular among younger generations because of their glamorous lifestyles .,Effect of celebrities on youth,"[(0, 14), (14, 37), (37, 50)]","[(8, 36)]",-,0.0,MU,C2.2204,train,essay366,influenced by media and celebrities . This will be proven by looking at how health and personality of young people is affected by following celebrities as their mentors,MU
"This rapid progress in technology leads to the question whether it 's better working at home with a computer and a phone than working at the company 's office . Second , working at home has many disadvantages that will no doubt lower the efficiency of works . First of all , while working in the office , people can interact with their colleges instantly . People are no longer restricted in the office .",Working at home vs Working in a company,"[(0, 32), (32, 47), (47, 52), (52, 65), (65, 75)]","[(32, 63)]",m2,0.839,MG,C3.2674,test,essay259,"working at home has many disadvantages that will no doubt lower the efficiency of works . First of all , while working in the office , people can interact with their",MG
"However , from my limited understanding , I just doubt the credibility of that saying . For instance , I had received some harmful words on facebook from my best friend , Eric . There is a hotly debated issue over whether face-to-face communication is better than other kinds of communication , and this topic can also be approached from several different angles due to its complexity .",More convincing,"[(0, 19), (19, 33), (33, 68)]","[(21, 33)]",m1,0.857,IMP,C1.1472,train,essay141,"received some harmful words on facebook from my best friend , Eric",DISP
"Today , more and more people are moving to big cities to live . Besides , water pollution makes people 's health become more critical . Thus , both government and individual should take steps to diminish the consequences involved .",Life in Big Cities Vs People's health,"[(0, 16), (16, 25), (25, 41)]","[(2, 25)]",m3,0.391,MISP,C1.4044,train,essay387,"more and more people are moving to big cities to live . Besides , water pollution makes people 's health become more critical",DISP
"Therefore , learning about life , which is useful for foreseeing problems and be assertive enough to overcome them are needed . Family members such as your parents are experienced in life so they can give you proper and sincere guidance on every aspect of life . According to myself , both ways are good , but I prefer the latter .",The best way of learning life,"[(0, 22), (22, 46), (46, 62)]","[(22, 34)]",m1,0.5,SP,C1.2215,train,essay217,Family members such as your parents are experienced in life so they,SP
"Therefore , it is hoped that in coming time people will enjoy using more and more machines and will choose alternative ways to stay disease free . These machines reduce the physical work done by humans . This can be seen no where clearer than in increasing use of machines now a days .",Machines - positive or negative for humans,"[(0, 27), (27, 37), (37, 54)]","[(0, 21)]",-,0.0,MU,C2.2162,train,essay363,"Therefore , it is hoped that in coming time people will enjoy using more and more machines and will choose alternative",MU
"Instead , people should be aware of their responsibility to reduce the emissions caused by their lifestyle choices . On the other hand , growing of cheap flights really have negative impact on environment . People have various different views about cheap air travel .",Cheap air travel should be encouraged?,"[(0, 24), (24, 34), (34, 45)]","[(26, 34)]",m1,0.8,IMP,C1.1729,train,essay162,cheap flights really have negative impact on environment,DISP
"The need for increased working hours might be because of enhanced competitive environment and desire to acquire much money and promotion . He started regretting afterwards and now trying to manage his work but it seems to be too late for him . There is a saying in my native village , `` Health is Wealth '' .",Working Extended hours should restricted,"[(0, 22), (22, 42), (42, 58)]","[(26, 42)]",m1,0.8,IMP,C1.3674,train,essay345,and now trying to manage his work but it seems to be too late for him,DISP
"Secondly , studying in university means that you have totally turned into a different page of your life , which included many new experiences . After all , they know where and what to put high emphasis on in order to achieve their objectives . Different people attend university for different point of views .",Concentrate on the objectives - people attend schools for various reasons,"[(0, 28), (28, 44), (44, 55)]","[(30, 44)]",m1,0.875,IMP,C1.1298,train,essay125,where and what to put high emphasis on in order to achieve their objectives,DISP
"However , while people view these sportive events as vital in release international problems , others think that they are just entertainment to distract people . For example , the football world cup taking place every four years is a very followed event during which everyone is having fun . A world sportive competition event is watched by almost every country around the world and provide social stimulus and people gathering .",Popular events are essential,"[(0, 29), (29, 49), (49, 72)]","[(29, 49)]",-,1.0,PM,C1.1426,train,essay137,the football world cup taking place every four years is a very followed event during which everyone is having fun,PM
"Whether this really suits the needs of their potential employers is highly unlikely as universities nowadays have evolved as a domain of experts : where more and more is known about less and less . Universities have quickly become the places to go when people seek to further develop their expertise . However , although I respect the universities ' aim of providing such courses to develop skills required for work and support their cause , I do not believe it is the main or best function of a university .",True function of a university,"[(0, 35), (35, 52), (52, 91)]","[(42, 69)]",-,0.0,MU,C2.274,train,essay046,"go when people seek to further develop their expertise . However , although I respect the universities ' aim of providing such courses to develop skills required",MU
"Currently , a great number of countries have pushed forward their economies by developing national industries . Furthermore , taking environmental consequences seriously can enhance working efficiencies . However , some people are worried that the economic targets in industrialized countries may be attained at the expense of the ecosystems .",Economic development vs environment,"[(0, 19), (19, 27), (27, 51)]","[(14, 27)]",m6,0.375,SP,C1.829,train,essay078,"national industries . Furthermore , taking environmental consequences seriously can enhance working efficiencies",SP
"From cities with more that 20 million people to small towns inhabited by only hundreds of people . Cultural events such as exhibitions and theatre plays can enrich one 's and widen his horizons , things which are n't offered by small towns . This diversities in cities allowed for more difference in people 's preferences for where to live .",Living in big cities or living in small towns,"[(0, 18), (18, 43), (43, 61)]","[(20, 43)]",m1,0.92,IMP,C1.3379,train,essay315,"such as exhibitions and theatre plays can enrich one 's and widen his horizons , things which are n't offered by small towns",DISP
Advances in technology do help humans to solve abundant of problems ; however it also deprives of some things that we had . The third reason is that the pace of life . The life today is totally different from half centuries before .,People are put too much focus on making wealth and progress in technology,"[(0, 23), (23, 32), (32, 44)]","[(8, 32)]",m3,0.375,MISP,C1.1329,train,essay127,abundant of problems ; however it also deprives of some things that we had . The third reason is that the pace of life,DISP
"Second , not all of serious movies are boring . After watching the movie , we may learn a lesson between jewels and death . Here are my reasons .",Serious or entertaining movies,"[(0, 10), (10, 24), (24, 30)]","[(10, 17)]",m1,0.5,SP,C1.1852,train,essay174,"After watching the movie , we may",SP
"These researches can be aimed for several fields such as business or agriculture . The centre of research for agriculture can make some research in how to get a good quality of this product , how to treat the Palme and maybe how to treat the land of the palms . Most of the universities in the world seek to develop some research in some countries .",A university plans to devlope a new research centre in your country,"[(0, 14), (14, 50), (50, 67)]","[(14, 32)]",m1,0.5,SP,C1.1987,train,essay195,The centre of research for agriculture can make some research in how to get a good quality of,SP
"How she could say that to me ? Time with the family is gold , some people have to realize that and take quality of time to talk to them . One of this resource is television ; however television has some negative effects among some people .",TV has adverse effects on friends and family,"[(0, 8), (8, 30), (30, 48)]","[(8, 19)]",m1,0.5,SP,C1.2772,train,essay267,"Time with the family is gold , some people have to",SP
"There are many instances that luck has brought people things that they never could even imagine . He realized that having a master 's degree would be a great credential for him to outperform his competitors . Secondly , if you believe that hard work is the key to success , it would make you a visionary person .",Luck vs hard work,"[(0, 17), (17, 36), (36, 59)]","[(18, 36)]",m1,0.947,IMP,C1.2077,train,essay203,realized that having a master 's degree would be a great credential for him to outperform his competitors,DISP
"Some are afraid that this will lead to the decline of education quality and suggest them to spend more time on teaching . Secondly , professors should fully use the research-friendly environment provided by universities . These days , more and more university professors are involved in scientific research .",Professors should do more research or teach students?,"[(0, 25), (25, 35), (35, 50)]","[(28, 35)]",m1,0.7,IMP,C1.3108,train,essay294,use the research-friendly environment provided by universities,DISP
"Nowadays , many countries are concerned with the environment problems . For instance , many people driving private cars could cause air pollution , and overusing plastic packages would affect the environment . There is a viewpoint that the government and big firms should assume the responsibility to protect the environment and normal citizens have nothing to do for that .",The environment problems facing today's world are so great,"[(0, 14), (14, 32), (32, 61)]","[(14, 32)]",-,1.0,PM,C1.4105,train,essay392,"many people driving private cars could cause air pollution , and overusing plastic packages would affect the environment",PM
"However , while the majority of people live on the fast lane , others decide to reduce the speed and take their time . If you do not hurry yourself you can take more time for your family and friends . In addition , living your life at a slower pace increases your happiness . Modern technologies and globalization have increased the speed of life in the past decades tremendously .",Rush vs Slower Pace,"[(0, 24), (24, 40), (40, 44), (44, 54), (54, 71)]","[(27, 54)]",m3,0.851,MG,C3.3229,train,essay303,"not hurry yourself you can take more time for your family and friends . In addition , living your life at a slower pace increases your happiness",MG
"Every Student should do part time job beside their study if they want to prepare more efficiently for their future . Another reason is that from part time jobs students can earn money , which can help their parents . For instance , when i was in high school I worked as a home tutor .",Part time job for teenage students,"[(0, 25), (25, 39), (39, 56)]","[(29, 39)]",m1,0.714,IMP,C1.3170,train,essay298,"students can earn money , which can help their parents",DISP
